hour,dif_tide_height,current_dir,wave_height,current_speed,wind_speed,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.416666667,0.042553191,0.544212963,0.086803519,0.450880479,0.150943396,0,1,6,0.196658098,0.183967841,0.05230174,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.053335294
0.458333333,0.076595745,0.527824074,0.11085044,0.387560884,0.160377358,0,1,6,0.196658098,0.183967841,0.05230174,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.053335294
0.5,0.106382979,0.469467593,0.121407625,0.222705133,0.188679245,0,1,2,0.080976864,0.183967841,0.019477214,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.021961592
0.541666667,0.093617021,0.206712963,0.102052786,0.174222555,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.583333333,0.076595745,0.12,0.11026393,0.350992881,0.20754717,0,1,13,0.073264781,0.183967841,0.017510643,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.019870011
0.625,0.038297872,0.083078704,0.104985338,0.353540652,0.08490566,0,1,13,0.073264781,0.183967841,0.017510643,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.019870011
0.666666667,0.059574468,0.060656566,0.111810184,0.257754011,0.103773585,0,1,9,0.097686375,0.183967841,0.023825315,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.026493349
0.708333333,0.076595745,0.034074074,0.090909091,0.145447733,0.245283019,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.75,0.072340426,0.733657408,0.103225807,0.121693518,0.198113208,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.791666667,0.089361702,0.578796296,0.08973607,0.344023979,0.056603774,1,1,10,0.064267352,0.183967841,0.015247559,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.017429835
0.833333333,0.085106383,0.56030303,0.097733937,0.48934228,0.037735849,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.875,0.063829787,0.55989899,0.082378033,0.484273987,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.916666667,0.046808511,0.543217593,0.091495601,0.462270513,0.009433962,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.958333333,0.063829787,0.521893939,0.096454279,0.352825369,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
1,0.136170213,0.374143519,0.106744868,0.203746722,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.041666667,0.144680851,0.140984848,0.109890696,0.305494056,0.132075472,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.083333333,0.09787234,0.0725,0.104985338,0.484600974,0.160377358,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
