hour,dif_tide_height,current_dir,water_temp,current_speed,wind_speed,wind_dir,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.666666667,0.059574468,0.060656566,0.27276745,0.257754011,0.103773585,0.782222222,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.708333333,0.076595745,0.034074074,0.269759134,0.145447733,0.245283019,0.641111111,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.75,0.072340426,0.733657408,0.291138775,0.121693518,0.198113208,0.627777778,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.791666667,0.089361702,0.578796296,0.29655274,0.344023979,0.056603774,0.643611111,1,1,20,0.016556291,0.071411681,0.001292998,0.985981308,0.050602979,0.949397021,0.022665006,0.698675497,0.011567475
0.833333333,0.085106383,0.56030303,0.262642631,0.48934228,0.037735849,0,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.875,0.063829787,0.55989899,0.252035678,0.484273987,0.08490566,0.084166667,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.916666667,0.046808511,0.543217593,0.221088686,0.462270513,0.009433962,0,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.958333333,0.063829787,0.521893939,0.216357743,0.352825369,0.150943396,0.1625,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
1,0.136170213,0.374143519,0.217718769,0.203746722,0.150943396,0.456944444,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.041666667,0.144680851,0.140984848,0.214911341,0.305494056,0.132075472,0.534166667,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.083333333,0.09787234,0.0725,0.214569829,0.484600974,0.160377358,0.150833333,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.125,0.05106383,0.05474537,0.2168901,0.579093293,0.160377358,0.271666667,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.166666667,0.046808511,0.033472222,0.217442546,0.466766579,0.216981132,0.142222222,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.208333333,0.063829787,0.014675926,0.228988657,0.32476583,0.216981132,0.085555556,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
