hour,wave_height,water_temp,dif_tide_height,current_speed,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.291666667,0.271554252,0.226392163,0.068085106,0.297564631,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.333333333,0.258064516,0.235838981,0.165957447,0.133083552,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.375,0.237536657,0.23655716,0.114893617,0.084750843,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.416666667,0.218768328,0.231861373,0.085106383,0.322892469,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.458333333,0.252199413,0.243020772,0.09787234,0.496065942,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.5,0.255131965,0.252301856,0.080851064,0.449756463,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.541666667,0.247507332,0.227718032,0.093617021,0.487148745,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.583333333,0.251026393,0.227994255,0.068085106,0.376920195,0,1,4,0.361573374,0.312603452,0.20480686,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.057709517
0.625,0.287763263,0.230882038,0.10212766,0.188187609,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.666666667,0.314369502,0.249152917,0.10212766,0.295841139,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.708333333,0.317888563,0.273571008,0.131914894,0.406144623,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.75,0.346627566,0.275725545,0.063829787,0.351892094,0,1,1,0.055975794,0.312603452,0.026257165,0.985981308,0.050602979,0.949397021,0.276712329,0.159606657,0.008934109
0.791666667,0.346627566,0.258378757,0.106382979,0.177219933,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.833333333,0.301839509,0.261256495,0.123404255,0.047910351,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.875,0.255718475,0.263185032,0.114893617,0.156463095,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.916666667,0.224046921,0.261803919,0.106382979,0.33136006,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.958333333,0.255131965,0.257550088,0.068085106,0.497115024,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
1,0.255718475,0.257052888,0.089361702,0.416410641,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.041666667,0.248093842,0.228104744,0.05106383,0.44615961,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.083333333,0.240469209,0.216503388,0.059574468,0.283776695,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.125,0.262170088,0.219818061,0.10212766,0.159010865,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.166666667,0.28797654,0.208216706,0.114893617,0.349269389,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.208333333,0.293841642,0.230425015,0.063829787,0.442487823,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
0.25,0.309677419,0.225453005,0.038297872,0.470887973,0,0,0,0,0,0,0,0,0.949397021,0.276712329,0,0
