hour,wave_height,current_speed,tide_height,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.083333333,0.104985338,0.484600974,0.25681412,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.125,0.096187684,0.579093293,0.138181412,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.166666667,0.103812317,0.466766579,0.120420018,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.208333333,0.099706745,0.32476583,0.191465594,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.25,0.106744868,0.159685275,0.334226988,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.291666667,0.09032258,0.085575122,0.493297587,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.333333333,0.080938416,0.275833645,0.627457552,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.375,0.075659824,0.470738104,0.713248436,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.416666667,0.069208211,0.486774073,0.739499553,0,1,5,0.155743481,0.335540317,0.085217606,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.023158474
0.458333333,0.070381232,0.468415137,0.695375335,0,1,5,0.155743481,0.335540317,0.085217606,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.023158474
0.5,0.080351906,0.360134882,0.556411975,0,1,5,0.155743481,0.335540317,0.085217606,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.023158474
0.541666667,0.073900293,0.183664294,0.399575514,0,1,1,0.290345314,0.335540317,0.171229342,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.043173264
0.583333333,0.082697947,0.286774073,0.273905273,0,1,3,0.194503171,0.335540317,0.108685119,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.028921895
0.625,0.090695814,0.367866753,0.174262735,0,1,3,0.194503171,0.335540317,0.108685119,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.028921895
0.666666667,0.107331378,0.366729112,0.142873101,0,1,3,0.194503171,0.335540317,0.108685119,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.028921895
0.708333333,0.109677419,0.229449232,0.213136729,0,1,1,0.290345314,0.335540317,0.171229342,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.043173264
0.75,0.098533724,0.073735481,0.326519214,0,1,1,0.290345314,0.335540317,0.171229342,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.043173264
0.791666667,0.083870968,0.196777819,0.47419571,0,1,2,0.319943622,0.335540317,0.191969548,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.047574422
