hour,current_dir,water_temp,wind_speed,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.125,0.05474537,0.2168901,0.160377358,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.166666667,0.033472222,0.217442546,0.216981132,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.208333333,0.014675926,0.228988657,0.216981132,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.25,0.889143519,0.235120802,0.179245283,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.291666667,0.716782408,0.238490719,0.264150943,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.333333333,0.615740741,0.235176046,0.169811321,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.375,0.583680556,0.236501915,0.066037736,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.416666667,0.539189815,0.237662051,0.141509434,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.458333333,0.558333333,0.21020551,0.226415094,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.5,0.518981481,0.215564231,0.122641509,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.541666667,0.350069444,0.216669122,0.226415094,0,1,3,0.215909091,0.312130527,0.111071253,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.034512741
0.583333333,0.147407407,0.210702711,0.216981132,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.625,0.091515152,0.285965875,0.235849057,0,1,4,0.271969697,0.312130527,0.144942741,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.043473944
0.666666667,0.080231481,0.273571008,0.377358491,0,1,4,0.271969697,0.312130527,0.144942741,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.043473944
0.708333333,0.07337963,0.259815115,0.320754717,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.75,0.303287037,0.279979375,0.339622642,0,1,3,0.215909091,0.312130527,0.111071253,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.034512741
0.791666667,0.602222222,0.273791986,0.141509434,0,1,3,0.215909091,0.312130527,0.111071253,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.034512741
0.833333333,0.56537037,0.272134649,0.188679245,0,1,3,0.215909091,0.312130527,0.111071253,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.034512741
0.875,0.567878788,0.250107141,0.179245283,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.916666667,0.542986111,0.234236888,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.958333333,0.539328704,0.214404096,0.113207547,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
1,0.485763889,0.217663524,0,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.041666667,0.279015151,0.220275084,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.083333333,0.106041667,0.212581026,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.125,0.061944444,0.206448881,0.169811321,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.166666667,0.049652778,0.214901297,0.113207547,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.208333333,0.025856481,0.223298468,0.122641509,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.25,0.176388889,0.235618003,0.188679245,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.291666667,0.920532408,0.243904685,0.103773585,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.333333333,0.682430556,0.246114467,0.245283019,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.375,0.602199074,0.240534767,0.273584906,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.416666667,0.571365741,0.239264143,0.273584906,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.458333333,0.546689815,0.22915439,0.424528302,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.5,0.545717593,0.212304803,0.405660377,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.541666667,0.503680556,0.225066294,0.188679245,0,1,3,0.215909091,0.312130527,0.111071253,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.034512741
0.583333333,0.247916667,0.218492192,0.622641509,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.625,0.113863636,0.244080463,0.481132075,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.666666667,0.079421296,0.284122716,0.264150943,0,1,4,0.271969697,0.312130527,0.144942741,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.043473944
0.708333333,0.093694444,0.296994697,0.160377358,0,1,4,0.271969697,0.312130527,0.144942741,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.043473944
0.75,0.090069444,0.268930466,0.264150943,0,1,4,0.271969697,0.312130527,0.144942741,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.043473944
0.791666667,0.452199074,0.257550088,0.273584906,0,1,3,0.215909091,0.312130527,0.111071253,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.034512741
0.833333333,0.592569444,0.269814378,0.198113208,0,1,3,0.215909091,0.312130527,0.111071253,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.034512741
0.875,0.574837963,0.277493371,0.29245283,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.916666667,0.560833333,0.262024897,0.20754717,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
