hour,dif_tide_height,water_temp,tide_height,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.458333333,0.042553191,0.22915439,0.69626899,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.5,0.085106383,0.212304803,0.630808758,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.541666667,0.093617021,0.225066294,0.51217605,0,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.583333333,0.106382979,0.218492192,0.332551385,0,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.625,0.09787234,0.244080463,0.19626899,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.666666667,0.042553191,0.284122716,0.122319035,0,1,2,0.152555911,0.296051076,0.070379951,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.025710301
0.708333333,0.055319149,0.296994697,0.120084897,0,1,2,0.152555911,0.296051076,0.070379951,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.025710301
0.75,0.09787234,0.268930466,0.206949887,0,1,2,0.152555911,0.296051076,0.070379951,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.025710301
0.791666667,0.119148936,0.257550088,0.359300887,0,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.833333333,0.131914894,0.269814378,0.525357462,0,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.875,0.106382979,0.277493371,0.663762288,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.916666667,0.085106383,0.262024897,0.763516533,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.958333333,0.068085106,0.243186505,0.805406613,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
1,0.085106383,0.225287272,0.760500447,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.041666667,0.10212766,0.225673984,0.647090493,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.083333333,0.131914894,0.223906158,0.469168901,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.125,0.093617021,0.222138332,0.278485255,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.166666667,0.072340426,0.230590748,0.160746202,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.208333333,0.072340426,0.228215233,0.115840036,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.25,0.080851064,0.231861373,0.174709562,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.291666667,0.093617021,0.242799794,0.2987042,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.333333333,0.093617021,0.248841538,0.46849866,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.375,0.127659574,0.245466599,0.610254692,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.416666667,0.106382979,0.242935394,0.718386952,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.458333333,0.153191489,0.247164113,0.761058981,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.5,0.204255319,0.221641131,0.749776586,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.541666667,0.174468085,0.210039776,0.631478999,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.583333333,0.131914894,0.222083088,0.480004468,0,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.625,0.114893617,0.221088686,0.317359249,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.666666667,0.089361702,0.226281673,0.20163092,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.708333333,0.089361702,0.24414073,0.178284182,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.75,0.076595745,0.246777401,0.192135836,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.791666667,0.093617021,0.235286535,0.30730563,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
