hour,wave_height,current_dir,wind_dir,dif_tide_height,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(drifting),p(pred|drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
1,0.11026393,0.226805556,0.026111111,0.127659574,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.041666667,0.08914956,0.1075,0.021111111,0.093617021,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.083333333,0.06744868,0.065347222,0.073333333,0.093617021,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.125,0.060997068,0.049050926,0.03,0.05106383,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.166666667,0.059237537,0.023888889,0.106944444,0.085106383,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.208333333,0.069794722,0.88,0.160555556,0.09787234,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.25,0.108504399,0.786018519,0.944722222,0.093617021,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.291666667,0.112023461,0.660648148,0,0.09787234,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.333333333,0.123753665,0.598032408,0.006111111,0.05106383,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.375,0.114369501,0.565601852,0,0.029787234,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.416666667,0.086803519,0.544212963,0.682777778,0.042553191,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.458333333,0.11085044,0.527824074,0.760277778,0.076595745,0,1,1,0.129411765,0.221092457,0.040485591,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.029204152
0.5,0.121407625,0.469467593,0.833055556,0.106382979,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.541666667,0.102052786,0.206712963,0.965277778,0.093617021,0,1,3,0.090909091,0.221092457,0.027601476,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.020515314
0.583333333,0.11026393,0.12,0.840277778,0.076595745,0,1,3,0.090909091,0.221092457,0.027601476,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.020515314
0.625,0.104985338,0.083078704,0.907777778,0.038297872,0,1,3,0.090909091,0.221092457,0.027601476,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.020515314
0.666666667,0.111810184,0.060656566,0.782222222,0.059574468,0,1,5,0.190374332,0.221092457,0.062567951,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.04296148
0.708333333,0.090909091,0.034074074,0.641111111,0.076595745,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.75,0.103225807,0.733657408,0.627777778,0.072340426,0,1,10,0.098395722,0.221092457,0.030046855,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.02220481
0.791666667,0.08973607,0.578796296,0.643611111,0.089361702,1,1,10,0.098395722,0.221092457,0.030046855,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.02220481
0.833333333,0.097733937,0.56030303,0,0.085106383,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.875,0.082378033,0.55989899,0.084166667,0.063829787,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.916666667,0.091495601,0.543217593,0,0.046808511,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.958333333,0.096454279,0.521893939,0.1625,0.063829787,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
1,0.106744868,0.374143519,0.456944444,0.136170213,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.041666667,0.109890696,0.140984848,0.534166667,0.144680851,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.083333333,0.104985338,0.0725,0.150833333,0.09787234,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.125,0.096187684,0.05474537,0.271666667,0.05106383,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.166666667,0.103812317,0.033472222,0.142222222,0.046808511,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.208333333,0.099706745,0.014675926,0.085555556,0.063829787,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.25,0.106744868,0.889143519,0.161666667,0.114893617,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.291666667,0.09032258,0.716782408,0.121944444,0.106382979,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.333333333,0.080938416,0.615740741,0.093888889,0.106382979,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.375,0.075659824,0.583680556,0.5025,0.042553191,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.416666667,0.069208211,0.539189815,0.968055556,0.025531915,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.458333333,0.070381232,0.558333333,0.945555556,0.063829787,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.5,0.080351906,0.518981481,0.713888889,0.110638298,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.541666667,0.073900293,0.350069444,0.714444444,0.127659574,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.583333333,0.082697947,0.147407407,0.831666667,0.123404255,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.625,0.090695814,0.091515152,0.794166667,0.106382979,0,1,3,0.090909091,0.221092457,0.027601476,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.020515314
0.666666667,0.107331378,0.080231481,0.846944444,0.05106383,0,1,3,0.090909091,0.221092457,0.027601476,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.020515314
0.708333333,0.109677419,0.07337963,0.993333333,0.059574468,0,1,3,0.090909091,0.221092457,0.027601476,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.020515314
0.75,0.098533724,0.303287037,0.001944444,0.085106383,0,1,11,0.029946524,0.221092457,0.008686598,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.006757986
0.791666667,0.083870968,0.602222222,0.148333333,0.076595745,0,1,9,0.069518717,0.221092457,0.020766738,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.015688181
0.833333333,0.064516129,0.56537037,0.042222222,0.131914894,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.875,0.070861104,0.567878788,0.116111111,0.059574468,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.916666667,0.09032258,0.542986111,0.162222222,0.038297872,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.958333333,0.076832845,0.539328704,0.0725,0.046808511,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
1,0.068035191,0.485763889,0,0.10212766,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.041666667,0.069581445,0.279015151,0.201944444,0.093617021,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.083333333,0.079178886,0.106041667,0.258333333,0.110638298,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.125,0.079178886,0.061944444,0.486666667,0.076595745,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.166666667,0.074486803,0.049652778,0.055277778,0.034042553,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.208333333,0.075659824,0.025856481,0.211666667,0.059574468,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.25,0.072140762,0.176388889,0.13,0.063829787,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.291666667,0.069208211,0.920532408,0.389166667,0.10212766,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.333333333,0.076832845,0.682430556,0.482222222,0.110638298,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.375,0.081524926,0.602199074,0.472777778,0.076595745,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.416666667,0.068621701,0.571365741,0.510555556,0.05106383,0,1,7,0.181818182,0.221092457,0.059334941,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.041030627
0.458333333,0.075659824,0.546689815,0.566111111,0.042553191,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.5,0.065102639,0.545717593,0.619722222,0.085106383,0,1,1,0.129411765,0.221092457,0.040485591,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.029204152
0.541666667,0.076246334,0.503680556,0.656388889,0.093617021,0,1,1,0.129411765,0.221092457,0.040485591,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.029204152
0.583333333,0.108504399,0.247916667,0.594166667,0.106382979,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.625,0.138043189,0.113863636,0.618333333,0.09787234,0,1,5,0.190374332,0.221092457,0.062567951,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.04296148
0.666666667,0.13372434,0.079421296,0.585833333,0.042553191,0,1,5,0.190374332,0.221092457,0.062567951,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.04296148
0.708333333,0.148856305,0.093694444,0.660833333,0.055319149,0,1,5,0.190374332,0.221092457,0.062567951,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.04296148
0.75,0.15483871,0.090069444,0.939444444,0.09787234,0,1,3,0.090909091,0.221092457,0.027601476,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.020515314
0.791666667,0.144868035,0.452199074,0.012222222,0.119148936,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.833333333,0.105571848,0.592569444,0.081944444,0.131914894,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.875,0.098533724,0.574837963,0.015277778,0.106382979,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.916666667,0.107331378,0.560833333,0.001666667,0.085106383,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.958333333,0.096774194,0.543449074,0.997222222,0.068085106,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
1,0.080938416,0.528194444,0.0775,0.085106383,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.041666667,0.078005865,0.405162037,0,0.10212766,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.083333333,0.100293255,0.184421296,0.105277778,0.131914894,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.125,0.08914956,0.090277778,0.144166667,0.093617021,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.166666667,0.100293255,0.060740741,0.218888889,0.072340426,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.208333333,0.091495601,0.048310185,0.071666667,0.072340426,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.25,0.08797654,0.09974537,0.197222222,0.080851064,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.291666667,0.09032258,0.659837963,0.134166667,0.093617021,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.333333333,0.118848307,0.802070707,0.064722222,0.093617021,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.375,0.160437216,0.626237374,0.063611111,0.127659574,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.416666667,0.088136497,0.592676768,0.074722222,0.106382979,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.458333333,0.070381232,0.553634259,0.061111111,0.153191489,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.5,0.096774194,0.551388889,0.046111111,0.204255319,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.541666667,0.1542522,0.531597222,0.024166667,0.174468085,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.583333333,0.135483871,0.414166667,0.065555556,0.131914894,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.625,0.107917888,0.175833333,0.997777778,0.114893617,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.666666667,0.123753665,0.088773148,0.001388889,0.089361702,0,1,11,0.029946524,0.221092457,0.008686598,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.006757986
0.708333333,0.194988004,0.1,0.861111111,0.089361702,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.75,0.253372434,0.105509259,0.843888889,0.076595745,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.791666667,0.256891496,0.095046296,0.928055556,0.093617021,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.833333333,0.188589709,0.650555556,0.906944444,0.089361702,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.875,0.160117302,0.57525463,0.979444444,0.110638298,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.916666667,0.171847508,0.580856481,0.978611111,0.068085106,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.958333333,0.226392962,0.540763889,0.959722222,0.072340426,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
1,0.217008797,0.544490741,0.996111111,0.05106383,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.041666667,0.168328446,0.505625,0.006944444,0.119148936,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.083333333,0.182404692,0.355046296,0.9475,0.123404255,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.125,0.164222874,0.139606481,0.001666667,0.119148936,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.166666667,0.231085044,0.080231481,0.693888889,0.09787234,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.208333333,0.309677419,0.064375,0,0.080851064,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.25,0.295014663,0.039930556,0.9525,0.093617021,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.291666667,0.271554252,0.01625,0.0575,0.068085106,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.333333333,0.258064516,0.891944444,0.986666667,0.165957447,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.375,0.237536657,0.692523148,0.719166667,0.114893617,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.416666667,0.218768328,0.614791667,0.686944444,0.085106383,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.458333333,0.252199413,0.579699074,0.797222222,0.09787234,0,1,1,0.129411765,0.221092457,0.040485591,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.029204152
0.5,0.255131965,0.545833333,0.734444444,0.080851064,0,1,1,0.129411765,0.221092457,0.040485591,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.029204152
0.541666667,0.247507332,0.550023148,0.698888889,0.093617021,0,1,1,0.129411765,0.221092457,0.040485591,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.029204152
0.583333333,0.251026393,0.504074074,0.696388889,0.068085106,0,1,1,0.129411765,0.221092457,0.040485591,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.029204152
0.625,0.287763263,0.341994949,0.662222222,0.10212766,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.666666667,0.314369502,0.171527778,0.679444444,0.10212766,0,1,5,0.190374332,0.221092457,0.062567951,0.985981308,0.050602979,0.949397021,0.180323786,0.225668449,0.04296148
0.708333333,0.317888563,0.116597222,0.701388889,0.131914894,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.75,0.346627566,0.101296296,0.734722222,0.063829787,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.791666667,0.346627566,0.092685185,0.8075,0.106382979,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.833333333,0.301839509,0.570252525,0.810833333,0.123404255,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.875,0.255718475,0.633425926,0.776388889,0.114893617,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.916666667,0.224046921,0.580856481,0.821388889,0.106382979,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.958333333,0.255131965,0.580578704,0.840277778,0.068085106,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
1,0.255718475,0.547476852,0.893055556,0.089361702,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.041666667,0.248093842,0.540347222,0.932222222,0.05106383,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.083333333,0.240469209,0.501203704,0.921944444,0.059574468,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.125,0.262170088,0.287152778,0.982777778,0.10212766,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.166666667,0.28797654,0.123356481,0.9625,0.114893617,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.208333333,0.293841642,0.0725,0,0.063829787,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.25,0.309677419,0.055300926,0.360833333,0.038297872,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.291666667,0.312609971,0.035671296,0.455,0.038297872,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.333333333,0.310263929,0.093217593,0.485555556,0.076595745,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
0.375,0.258064516,0.626018519,0.510277778,0.089361702,0,0,0,0,0,0,0,0,0.949397021,0.180323786,0,0
