hour,tide_variation,current_speed,tide_height,wind_speed,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.208333333,0.248878924,0.40591982,0.13538874,0.122641509,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.25,0.178624813,0.276957662,0.240393208,0.188679245,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.291666667,0.282511211,0.101985762,0.370308311,0.103773585,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.333333333,0.417040359,0.131884601,0.508824844,0.245283019,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.375,0.387144993,0.30093668,0.615393208,0.273584906,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.416666667,0.114349776,0.508055451,0.711349419,0.273584906,0,1,4,0.085714286,0.306218964,0.039734896,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.013965803
0.458333333,0.092675635,0.515324091,0.69626899,0.424528302,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.5,0.185351271,0.434095167,0.630808758,0.405660377,0,1,4,0.085714286,0.306218964,0.039734896,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.013965803
0.541666667,0.402092676,0.258149119,0.51217605,0.188679245,0,1,3,0.197683398,0.306218964,0.098084407,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.032209418
0.583333333,0.644245142,0.168227801,0.332551385,0.622641509,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.625,0.322869955,0.371954085,0.19626899,0.481132075,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.666666667,0.183856502,0.438441364,0.122319035,0.264150943,0,1,7,0.213899614,0.306218964,0.10722227,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.034851597
0.708333333,0.225710015,0.388115399,0.120084897,0.160377358,0,1,7,0.213899614,0.306218964,0.10722227,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.034851597
0.75,0.156203288,0.195578868,0.206949887,0.264150943,0,1,7,0.213899614,0.306218964,0.10722227,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.034851597
0.791666667,0.38490284,0.043162233,0.359300887,0.273584906,0,1,3,0.197683398,0.306218964,0.098084407,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.032209418
0.833333333,0.408071749,0.241888348,0.525357462,0.198113208,0,1,3,0.197683398,0.306218964,0.098084407,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.032209418
0.875,0.644992526,0.459123267,0.663762288,0.29245283,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.916666667,0.508221226,0.489171974,0.763516533,0.20754717,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.958333333,0.19058296,0.465118022,0.805406613,0.056603774,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
1,0.202541106,0.399250656,0.760500447,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.041666667,0.622571001,0.237242413,0.647090493,0.037735849,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.083333333,0.60612855,0.254027726,0.469168901,0.122641509,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.125,0.388639761,0.480104908,0.278485255,0.264150943,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.166666667,0.493273543,0.568677407,0.160746202,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.208333333,0.254110613,0.524466092,0.115840036,0.113207547,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.25,0.265321375,0.357437242,0.174709562,0.179245283,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.291666667,0.304185351,0.213263394,0.2987042,0.198113208,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.333333333,0.441704036,0.101944889,0.46849866,0.301886792,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.375,0.506726457,0.281378793,0.610254692,0.301886792,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.416666667,0.237668161,0.485990667,0.718386952,0.330188679,0,1,4,0.085714286,0.306218964,0.039734896,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.013965803
0.458333333,0.216741405,0.540127388,0.761058981,0.330188679,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.5,0.338565022,0.512701386,0.749776586,0.556603774,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.541666667,0.502242152,0.428475084,0.631478999,0.735849057,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.583333333,0.396113602,0.235743724,0.480004468,0.377358491,0,1,3,0.197683398,0.306218964,0.098084407,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.032209418
0.625,0.376681614,0.261146497,0.317359249,0.41509434,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.666666667,0.517189836,0.345822405,0.20163092,0.41509434,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.708333333,0.215994021,0.298463844,0.178284182,0.518867925,0,1,2,0.065637066,0.306218964,0.03007337,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.010694533
0.75,0.208520179,0.210415886,0.192135836,0.566037736,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.791666667,0.369207773,0.063094792,0.30730563,0.433962264,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.833333333,0.509715994,0.095977383,0.4480563,0.245283019,0,1,3,0.197683398,0.306218964,0.098084407,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.032209418
0.875,0.373692078,0.371824653,0.600871314,0.245283019,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.916666667,0.206278027,0.517796928,0.702971403,0.169811321,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.958333333,0.297458894,0.530760584,0.799932976,0.433962264,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
1,0.104633782,0.489696515,0.802837355,0.29245283,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.041666667,0.713751868,0.352416635,0.734331737,0.396226415,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.083333333,0.564275037,0.153915324,0.580875782,0.094339623,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.125,0.489536622,0.313825403,0.423145666,0.094339623,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.166666667,0.389387145,0.474934432,0.260947274,0.132075472,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.208333333,0.311659193,0.512851255,0.163985702,0.028301887,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.25,0.326606876,0.417684526,0.157059875,0.358490566,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.291666667,0.177130045,0.297564631,0.219615728,0.216981132,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.333333333,1,0.133083552,0.332774799,0.132075472,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.375,0.338565022,0.084750843,0.476094727,0.311320755,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.416666667,0.257100149,0.322892469,0.585455764,0.29245283,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.458333333,0.401345291,0.496065942,0.673274413,0.283018868,0,1,4,0.085714286,0.306218964,0.039734896,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.013965803
0.5,0.171150972,0.449756463,0.731233244,0.386792453,0,1,4,0.085714286,0.306218964,0.039734896,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.013965803
0.541666667,0.19058296,0.487148745,0.676720286,0.481132075,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.583333333,0.130792227,0.376920195,0.58489723,0.471698113,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.625,0.444693572,0.188187609,0.445487042,0.490566038,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.666666667,0.501494768,0.295841139,0.313896336,0.5,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.708333333,0.331091181,0.406144623,0.210902592,0.41509434,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.75,0.200298954,0.351892094,0.196492404,0.41509434,0,1,2,0.065637066,0.306218964,0.03007337,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.010694533
0.791666667,0.475336323,0.177219933,0.238047364,0.396226415,0,1,3,0.197683398,0.306218964,0.098084407,0.985981308,0.050602979,0.949397021,0.269987547,0.162934363,0.032209418
0.833333333,0.242152466,0.047910351,0.350201072,0.311320755,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.875,0.664424514,0.156463095,0.483914209,0.226415094,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.916666667,0.550822123,0.33136006,0.609472743,0.235849057,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.958333333,0.397608371,0.497115024,0.713695263,0.330188679,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
1,0.277279522,0.416410641,0.751563896,0.235849057,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.041666667,0.141255605,0.44615961,0.737078627,0.226415094,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.083333333,0.226457399,0.283776695,0.674262735,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.125,0.250373692,0.159010865,0.537086685,0.141509434,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
0.166666667,0.439461883,0.349269389,0.377457551,0.122641509,0,0,0,0,0,0,0,0,0.949397021,0.269987547,0,0
