,hour,wind_dir,current_dir,wind_speed,current_speed,wave_height,water_temp,tide_height,tide_variation,cluster
1207,0.625,0.7788888890000001,0.581018519,0.16981132100000002,0.15773698,0.08680351900000001,0.793864172,0.469392315,0.13079222699999998,11
1209,0.708333333,0.7977777779999999,0.5870833329999999,0.16981132100000002,0.276058449,0.083870968,0.760827932,0.623994638,0.174140508,11
1232,0.666666667,0.839722222,0.557592593,0.490566038,0.184713376,0.1771261,0.7376252209999999,0.507037534,0.165919283,19
1278,0.583333333,0.703333333,0.050648148,0.198113208,0.31240164800000003,0.077419355,0.674480702,0.17135835600000002,0.017189836,13
1302,0.583333333,0.696666667,0.062060185,0.273584906,0.378418883,0.061583578,0.662603123,0.150469169,0.08819133,13
1303,0.625,0.675555556,0.035162037,0.245283019,0.311652304,0.050439883,0.676469505,0.127010724,0.26905829600000003,2
1326,0.583333333,0.705277778,0.087175926,0.16981132100000002,0.40569501700000005,0.076246334,0.649289187,0.176720286,0.268310912,2
1328,0.666666667,0.846666667,0.038773148,0.188679245,0.330161109,0.101466276,0.687518415,0.10819105400000001,0.233183857,2
1329,0.708333333,0.7936111109999999,0.022037037000000002,0.09433962300000001,0.16403147199999998,0.10439882699999999,0.712212728,0.217269884,0.437967115,2
1350,0.583333333,0.7494444440000001,0.128680556,0.16981132100000002,0.364256276,0.08739003,0.6491786979999999,0.279490617,0.550822123,2
1351,0.625,0.7536111109999999,0.08590277800000001,0.160377358,0.549943799,0.097360704,0.6834303190000001,0.128462913,0.35799701,2
1352,0.666666667,0.813888889,0.062476852,0.066037736,0.501011615,0.10263929599999999,0.70094284,0.090147453,0.013452915,13
1353,0.708333333,0.895833333,0.046689815,0.254716981,0.35623829100000004,0.109677419,0.655089865,0.15214477199999998,0.280269058,2
1375,0.625,0.8552777779999999,0.107939815,0.22641509399999998,0.438141626,0.06686217,0.65260386,0.252569258,0.26158445399999997,2
1544,0.666666667,0.838611111,0.30275463,0.301886792,0.054852004,0.13431085,0.267438863,0.245084897,0.414798206,12
1545,0.708333333,0.864166667,0.567106481,0.12264150900000001,0.264368677,0.121994135,0.280366088,0.40773011600000003,0.5,12
1555,0.75,0.924722222,0.35208333299999994,0.08490566,0.076957662,0.054545455,0.238932676,0.324620197,0.26083707,12
