hour,wave_height,current_dir,tide_height,wind_speed,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.958333333,0.076832845,0.539328704,0.817247542,0.113207547,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
1,0.068035191,0.485763889,0.715482574,0,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.041666667,0.069581445,0.279015151,0.539851888,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.083333333,0.079178886,0.106041667,0.350201072,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.125,0.079178886,0.061944444,0.205093834,0.169811321,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.166666667,0.074486803,0.049652778,0.117180518,0.113207547,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.208333333,0.075659824,0.025856481,0.13538874,0.122641509,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.25,0.072140762,0.176388889,0.240393208,0.188679245,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.291666667,0.069208211,0.920532408,0.370308311,0.103773585,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.333333333,0.076832845,0.682430556,0.508824844,0.245283019,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.375,0.081524926,0.602199074,0.615393208,0.273584906,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.416666667,0.068621701,0.571365741,0.711349419,0.273584906,0,1,4,0.280629139,0.285646725,0.134940445,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.049017176
0.458333333,0.075659824,0.546689815,0.69626899,0.424528302,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.5,0.065102639,0.545717593,0.630808758,0.405660377,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.541666667,0.076246334,0.503680556,0.51217605,0.188679245,0,1,4,0.280629139,0.285646725,0.134940445,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.049017176
0.583333333,0.108504399,0.247916667,0.332551385,0.622641509,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.625,0.138043189,0.113863636,0.19626899,0.481132075,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.666666667,0.13372434,0.079421296,0.122319035,0.264150943,0,1,1,0.127483444,0.285646725,0.055199655,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.02226739
0.708333333,0.148856305,0.093694444,0.120084897,0.160377358,0,1,1,0.127483444,0.285646725,0.055199655,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.02226739
0.75,0.15483871,0.090069444,0.206949887,0.264150943,0,1,1,0.127483444,0.285646725,0.055199655,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.02226739
0.791666667,0.144868035,0.452199074,0.359300887,0.273584906,0,1,3,0.039735099,0.285646725,0.016276923,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.006940485
0.833333333,0.105571848,0.592569444,0.525357462,0.198113208,0,1,8,0.244205298,0.285646725,0.114418438,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.042655064
0.875,0.098533724,0.574837963,0.663762288,0.29245283,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.916666667,0.107331378,0.560833333,0.763516533,0.20754717,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.958333333,0.096774194,0.543449074,0.805406613,0.056603774,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
1,0.080938416,0.528194444,0.760500447,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.041666667,0.078005865,0.405162037,0.647090493,0.037735849,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.083333333,0.100293255,0.184421296,0.469168901,0.122641509,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.125,0.08914956,0.090277778,0.278485255,0.264150943,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.166666667,0.100293255,0.060740741,0.160746202,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.208333333,0.091495601,0.048310185,0.115840036,0.113207547,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.25,0.08797654,0.09974537,0.174709562,0.179245283,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.291666667,0.09032258,0.659837963,0.2987042,0.198113208,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.333333333,0.118848307,0.802070707,0.46849866,0.301886792,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.375,0.160437216,0.626237374,0.610254692,0.301886792,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.416666667,0.088136497,0.592676768,0.718386952,0.330188679,0,1,4,0.280629139,0.285646725,0.134940445,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.049017176
0.458333333,0.070381232,0.553634259,0.761058981,0.330188679,0,1,4,0.280629139,0.285646725,0.134940445,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.049017176
0.5,0.096774194,0.551388889,0.749776586,0.556603774,0,1,2,0.103476821,0.285646725,0.044116663,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.01807418
0.541666667,0.1542522,0.531597222,0.631478999,0.735849057,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.583333333,0.135483871,0.414166667,0.480004468,0.377358491,0,1,2,0.103476821,0.285646725,0.044116663,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.01807418
0.625,0.107917888,0.175833333,0.317359249,0.41509434,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.666666667,0.123753665,0.088773148,0.20163092,0.41509434,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.708333333,0.194988004,0.1,0.178284182,0.518867925,0,1,7,0.043046358,0.285646725,0.017669304,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.007518859
0.75,0.253372434,0.105509259,0.192135836,0.566037736,0,1,7,0.043046358,0.285646725,0.017669304,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.007518859
0.791666667,0.256891496,0.095046296,0.30730563,0.433962264,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.833333333,0.188589709,0.650555556,0.4480563,0.245283019,0,1,8,0.244205298,0.285646725,0.114418438,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.042655064
0.875,0.160117302,0.57525463,0.600871314,0.245283019,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.916666667,0.171847508,0.580856481,0.702971403,0.169811321,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.958333333,0.226392962,0.540763889,0.799932976,0.433962264,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
1,0.217008797,0.544490741,0.802837355,0.29245283,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.041666667,0.168328446,0.505625,0.734331737,0.396226415,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.083333333,0.182404692,0.355046296,0.580875782,0.094339623,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.125,0.164222874,0.139606481,0.423145666,0.094339623,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.166666667,0.231085044,0.080231481,0.260947274,0.132075472,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.208333333,0.309677419,0.064375,0.163985702,0.028301887,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.25,0.295014663,0.039930556,0.157059875,0.358490566,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.291666667,0.271554252,0.01625,0.219615728,0.216981132,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.333333333,0.258064516,0.891944444,0.332774799,0.132075472,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.375,0.237536657,0.692523148,0.476094727,0.311320755,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.416666667,0.218768328,0.614791667,0.585455764,0.29245283,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.458333333,0.252199413,0.579699074,0.673274413,0.283018868,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
