hour,wind_dir,current_dir,tide_height,dif_tide_height,drifting,prediction,cluster,p(s|pred),p(drifting),p(~drifting),p(pred|drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.4166666666666667,0.5047222222222222,0.14916666666666667,0.3493074173592493,0.09361702127659577,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.4583333333333333,0.5288888888888889,0.15638888888888888,0.2258713136729222,0.08936170212765958,0,1,4,0.10970464135021098,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.019533906603286515
0.5416666666666666,0.54,0.08791666666666666,0.10857908847184987,0.029787234042553193,0,1,9,0.16540084388185655,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.02945112072495505
0.625,0.5358333333333334,0.3405555555555556,0.2775915996648793,0.0723404255319149,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.7083333333333334,0.5580555555555555,0.17527777777777778,0.5680294906166219,0.0851063829787234,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.75,0.5369444444444444,0.5255555555555556,0.7135835569705093,0.06808510638297872,0,1,5,0.20506329113924052,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.03651337926614325
0.8333333333333334,0.5333333333333333,0.4694444444444445,0.7874218049597853,0.05531914893617021,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.9166666666666666,0.5133333333333334,0.1986111111111111,0.5375335120643431,0.09787234042553193,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.9583333333333334,0.505,0.11027777777777778,0.3493074173592493,0.11063829787234043,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.04166666666666666,0.5158333333333333,0.06472222222222222,0.1112270909517426,0.029787234042553193,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.20833333333333331,0.4988888888888889,0.7294444444444446,0.4752010723860589,0.08936170212765958,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.375,0.5611111111111111,0.5686111111111111,0.6474871628686327,0.08085106382978724,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.4583333333333333,0.5891666666666666,0.1763888888888889,0.3925379803619303,0.10638297872340426,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.625,0.5616666666666666,0.9847222222222224,0.157171581769437,0.046808510638297884,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.7083333333333334,0.5572222222222222,0.8561111111111109,0.4535299374664878,0.1021276595744681,1,1,5,0.20506329113924052,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.03651337926614325
0.7916666666666666,0.5713888888888888,0.5511111111111111,0.7782618411528149,0.06808510638297872,1,1,5,0.20506329113924052,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.03651337926614325
0.9166666666666666,0.5158333333333333,0.4772222222222223,0.7024128686327077,0.1021276595744681,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.04166666666666666,0.5233333333333333,0.10055555555555556,0.13386146883378014,0.0723404255319149,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.16666666666666666,0.5447222222222222,0.965,0.17426273458445046,0.08936170212765958,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.75,0.5283333333333333,0.8615277777777777,0.4924039321045576,0.1276595744680851,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
