hour,wind_dir,current_dir,wave_height,tide_variation,drifting,prediction,cluster,p(s|pred),p(drifting),p(~drifting),p(pred|drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.4166666666666667,0.33194444444444443,0.5135185186111111,0.08035190641181275,0.2884902840059791,1,1,5,0.25726872246696036,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.18590308370044054,0.04782704884628074
0.4583333333333333,0.3322222222222222,0.4749537036111111,0.08563049878841769,0.4805680119581465,0,1,5,0.25726872246696036,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.18590308370044054,0.04782704884628074
0.5,0.32972222222222225,0.2640509259166667,0.09090909116502266,0.3153961136023917,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.5416666666666666,0.33555555555555555,0.15166666666666667,0.1092508666531967,0.3094170403587444,0,1,10,0.04757709251101322,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.18590308370044054,0.008844728211298492
0.5833333333333334,0.3313888888888889,0.10061111111111112,0.11014662759182324,0.2197309417040359,0,1,9,0.12158590308370044,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.18590308370044054,0.022603194317762816
0.625,0.3313888888888889,0.06835648147222223,0.11202346067144243,0.1337817638266069,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.6666666666666666,0.33305555555555555,0.8089646463888889,0.09901359626956333,0.31091180866965623,0,1,5,0.25726872246696036,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.18590308370044054,0.04782704884628074
0.7083333333333334,0.3316666666666667,0.8004861111111111,0.07331378324300616,0.5448430493273543,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.75,0.33194444444444443,0.614375,0.07683284482740946,0.585949177877429,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.7916666666666666,0.3316666666666667,0.578125,0.06862170089586432,0.6412556053811659,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.8333333333333334,0.33111111111111113,0.5612268519444444,0.059237536905392976,0.4671150971599402,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.875,0.3402777777777778,0.5541435186111111,0.025806451853561625,0.2040358744394619,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.9166666666666666,0.3347222222222222,0.5281944444444444,0.018768328684755024,0.21674140508221226,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.9583333333333334,0.3275,0.4325231480555557,0.02463343109082309,0.585949177877429,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
1.0,0.33305555555555555,0.23680555555555555,0.046334310626705996,0.4043348281016443,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.04166666666666666,0.3347222222222222,0.13768518519444445,0.07917888564907423,0.6943198804185351,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.08333333333333333,0.3338888888888889,0.09861111111111112,0.08387096799621603,0.2765321375186846,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.125,0.3202777777777778,0.07685185186111111,0.06217008775652085,0.02391629297458894,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.16666666666666666,0.3258333333333333,0.18840277777777775,0.0568914953799159,0.203288490284006,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.20833333333333331,0.3325,0.9518981480555556,0.053372433795512604,0.27802690582959644,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.25,0.3202777777777778,0.6925,0.0498533722111093,0.4633781763826607,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.2916666666666667,0.3438888888888889,0.6149537036111111,0.08387096799621603,0.4446935724962631,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.3333333333333333,0.34194444444444444,0.5556565655555555,0.04526792869097195,0.20553064275037367,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.375,0.3325,0.5232638888888889,0.04340175977557812,0.06427503736920777,1,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.4166666666666667,0.3375,0.5229398147222223,0.05278592376604948,0.2324364723467863,0,1,5,0.25726872246696036,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.18590308370044054,0.04782704884628074
0.4583333333333333,0.32833333333333337,0.5037268519444444,0.06510263931146104,0.21300448430493274,0,1,5,0.25726872246696036,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.18590308370044054,0.04782704884628074
0.5,0.3275,0.4438425925,0.06862170089586432,0.3796711509715994,0,1,5,0.25726872246696036,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.18590308370044054,0.04782704884628074
0.5416666666666666,0.33,0.23631944444444444,0.08563049878841769,0.5717488789237668,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.5833333333333334,0.33111111111111113,0.13820707069444446,0.0964542792015142,0.4125560538116592,0,1,10,0.04757709251101322,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.18590308370044054,0.008844728211298492
0.625,0.3322222222222222,0.09454545455555556,0.09069581421482599,0.2301943198804185,0,1,9,0.12158590308370044,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.18590308370044054,0.022603194317762816
0.6666666666666666,0.3322222222222222,0.08209595958333334,0.07597973843424742,0.17414050822122573,0,1,9,0.12158590308370044,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.18590308370044054,0.022603194317762816
0.7083333333333334,0.33194444444444443,0.6630092591666668,0.05747800611319132,0.1711509715994021,0,1,5,0.25726872246696036,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.18590308370044054,0.04782704884628074
0.75,0.3219444444444445,0.7038888888888889,0.058651026172117565,0.7227204783258595,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.0,0.0
0.7916666666666666,0.33194444444444443,0.5940404041666667,0.05678485725672374,0.4887892376681615,0,1,5,0.25726872246696036,0.0506029794277607,0.9493970205722393,0.985981308411215,0.23013698630136986,0.18590308370044054,0.04782704884628074
