hour,wind_speed,tide_height,dif_tide_height,tide_variation,drifting,prediction,cluster,p(s|pred),p(drifting),p(~drifting),p(pred|drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.3333333333333333,0.5377358490566039,0.5851206434316353,0.021276595744680854,0.1188340807174888,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.375,0.5660377358490567,0.5272564790214477,0.06382978723404256,0.17563527653213756,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.4166666666666667,0.5283018867924528,0.4149910634718498,0.08085106382978724,0.2914798206278027,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.4583333333333333,0.5377358490566039,0.2932305630026809,0.06808510638297872,0.2645739910313902,0,1,6,0.20042046250875964,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.14786264891380518,0.02963470048307518
0.5,0.5754716981132075,0.18956657727882034,0.05106382978723405,0.16292974588938716,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.5416666666666666,0.6981132075471699,0.11550491508042895,0.03829787234042553,0.07399103139013452,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.5833333333333334,0.7075471698113208,0.10221179624664878,0.03829787234042553,0.08968609865470853,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.625,0.7169811320754718,0.17024128686327075,0.046808510638297884,0.13079222720478328,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.6666666666666666,0.6603773584905661,0.2661974977882037,0.08085106382978724,0.4514200298953662,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.7083333333333334,0.6698113207547169,0.39912868632707776,0.09361702127659577,0.4663677130044843,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.75,0.7169811320754718,0.5234584450402143,0.059574468085106386,0.22645739910313906,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.7916666666666666,0.5660377358490567,0.6043342272117962,0.05531914893617021,0.2608370702541106,0,1,5,0.09320252277505256,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.14786264891380518,0.013781171902968528
0.8333333333333334,0.8867924528301888,0.6634271668900803,0.025531914893617023,0.06726457399103139,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.875,0.8018867924528302,0.6387399463806971,0.05531914893617021,0.43273542600896864,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.9166666666666666,0.8773584905660379,0.5414432528820374,0.05531914893617021,0.3647234678624813,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.9583333333333334,0.8679245283018868,0.3997731491286862,0.08936170212765958,0.3475336322869955,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
1.0,0.9150943396226416,0.23506655375335114,0.1021276595744681,0.33781763826606875,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.04166666666666666,0.6698113207547169,0.10628268800268097,0.05106382978723405,0.17339312406576982,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.08333333333333333,0.3113207547169811,0.05015638961126007,0.017021276595744685,0.041853512705530636,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.125,0.2358490566037736,0.07886505810991956,0.042553191489361715,0.22944693572496264,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.16666666666666666,0.22641509433962265,0.17962466487935655,0.06382978723404256,0.28026905829596416,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.20833333333333331,0.17924528301886794,0.3070822162868633,0.0851063829787234,0.4095665171898356,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.25,0.16037735849056606,0.4403485254691689,0.08936170212765958,0.2518684603886398,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.2916666666666667,0.12264150943396228,0.539544235924933,0.03404255319148936,0.1681614349775785,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.3333333333333333,0.1320754716981132,0.5971849865951742,0.017021276595744685,0.041106128550074734,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.375,0.2169811320754717,0.5739499550938336,0.046808510638297884,0.19955156950672648,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.4166666666666667,0.05660377358490566,0.4750893654825736,0.07659574468085106,0.34379671150971597,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.4583333333333333,0.1037735849056604,0.3665102770107238,0.06808510638297872,0.3019431988041853,0,1,2,0.16678346180798878,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.14786264891380518,0.02466104445794368
0.5,0.16037735849056606,0.2444146559651474,0.09787234042553193,0.28026905829596416,0,1,4,0.12824106517168885,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.14786264891380518,0.018962063595813837
0.5416666666666666,0.3490566037735849,0.13706434316353885,0.09787234042553193,0.5291479820627802,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.5833333333333334,0.2924528301886793,0.10824396782841823,0.08936170212765958,0.2376681614349776,0,1,6,0.20042046250875964,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.14786264891380518,0.02963470048307518
0.625,0.24528301886792456,0.14075067024128687,0.08085106382978724,0.22645739910313906,0,1,6,0.20042046250875964,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.14786264891380518,0.02963470048307518
0.6666666666666666,0.4905660377358491,0.21704647004021446,0.1276595744680851,0.6158445440956651,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.7083333333333334,0.4811320754716981,0.3595844504021447,0.09787234042553193,0.2944693572496263,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.75,0.3113207547169811,0.5075960678954422,0.11063829787234043,0.2428998505231689,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.7916666666666666,0.169811320754717,0.6506925824396781,0.1021276595744681,0.2227204783258595,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.8333333333333334,0.24528301886792456,0.750893654825737,0.05531914893617021,0.1502242152466368,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.875,0.339622641509434,0.7569258264075065,0.042553191489361715,0.1038863976083707,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.9166666666666666,0.33018867924528306,0.688337801608579,0.07659574468085106,0.2623318385650225,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.9583333333333334,0.30188679245283023,0.5827747989276139,0.08936170212765958,0.5590433482810164,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
1.0,0.3113207547169811,0.4338695263404825,0.09787234042553193,0.3714499252615845,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.04166666666666666,0.2641509433962264,0.2780182833109919,0.09361702127659577,0.14872944693572498,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.08333333333333333,0.30188679245283023,0.1712466487935657,0.042553191489361715,0.101644245142003,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
0.125,0.2735849056603773,0.12656389631367293,0.03829787234042553,0.1883408071748879,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3028642590286426,0.0,0.0
