,hour,wave_height,water_temp,tide_variation,tide_height,cluster
779,0.7916666666666666,0.5853372437736862,0.5576937243835279,0.14499252615844546,0.26686773907506695,8
796,0.5,0.2621700880380458,0.5810621687039077,0.29745889387145,0.364946380697051,6
801,0.7083333333333334,0.16891495605135834,0.5915586328348732,0.2847533632286996,0.5938337801608577,4
822,0.5833333333333334,0.25043988252209737,0.6094578667823979,0.3385650224215247,0.4130920464477211,1
823,0.625,0.24750733167096955,0.6097893340777225,0.12855007473841554,0.5130697050938337,4
824,0.6666666666666666,0.2545454548397761,0.61133618189786,0.11509715994020925,0.5863494189008042,4
825,0.7083333333333334,0.2228739005801464,0.6237662054725301,0.1046337817638266,0.6214253800268096,4
826,0.75,0.20586510268759295,0.6217221567094056,0.17264573991031393,0.6063449510723861,4
843,0.4583333333333333,0.20410557189539133,0.601778874661691,0.09267563527653214,0.19247095623324392,5
846,0.5833333333333334,0.15777126126868532,0.6519961699033578,0.1360239162929746,0.3026139410187667,6
847,0.625,0.14604105575273693,0.6452010903492051,0.29820627802690586,0.4092940125335121,6
848,0.6666666666666666,0.13724340179172867,0.6452010903492051,0.22571001494768314,0.5213360142761393,4
849,0.7083333333333334,0.1284457478307204,0.6562500004143343,0.1532137518684604,0.6204200180965148,4
850,0.75,0.11964809386971215,0.6555870658236853,0.044843049327354265,0.6772788203753349,4
851,0.7916666666666666,0.12316715545411548,0.6259759872203821,0.09865470852017937,0.6757149242627346,4
867,0.4583333333333333,0.09560117280835218,0.6295668831407093,0.4192825112107624,0.2325737265415549,1
872,0.6666666666666666,0.09794721433382923,0.7495580440481906,0.4245142002989537,0.4085120643431636,1
873,0.7083333333333334,0.08914956037282099,0.7434258990846867,0.23916292974588946,0.5568588024798927,4
874,0.75,0.09794721433382923,0.7051414264747031,0.17713004484304934,0.6729222520107238,4
892,0.5,0.07683284482740946,0.6138221866127942,0.1973094170403588,0.2069928507372654,5
894,0.5833333333333334,0.08387096799621603,0.6344284032511576,0.22645739910313906,0.09986595174262736,5
895,0.625,0.0926686219572243,0.6516094582797907,0.17937219730941706,0.16923592493297587,5
897,0.7083333333333334,0.08211143720401443,0.67188420762283,0.4678624813153962,0.44247095623324384,1
898,0.75,0.0639296185487225,0.6563604890708195,0.3714499252615845,0.6015827104557641,4
918,0.5833333333333334,0.0633431085192594,0.6108389809548733,0.2047832585949178,0.07629579979892763,5
921,0.7083333333333334,0.07272727250973074,0.6382402771473898,0.5829596412556054,0.31914655945040205,1
922,0.75,0.06568914934092415,0.6381850328191474,0.5186846038863976,0.4840259160187666,1
943,0.625,0.11202346067144243,0.6432675309055003,0.04409566517189836,0.04378909738605899,5
944,0.6666666666666666,0.14428152496053526,0.6607248089012157,0.18236173393124067,0.09550938337801608,5
964,0.5,0.06627566007419955,0.5987956690037703,0.4626307922272048,0.5142984807640749,1
965,0.5416666666666666,0.07038123168806598,0.5965858872559182,0.6128550074738416,0.3372430741957104,1
969,0.7083333333333334,0.0991202343927555,0.6653101060445819,0.28923766816143504,0.13181411977211796,5
970,0.75,0.11612903228530888,0.6681828230460174,0.3191330343796712,0.2895442359249329,1
988,0.5,0.058064516142654427,0.599955804537406,0.3213751868460389,0.5890303840482572,2
990,0.5833333333333334,0.08211143720401443,0.5980774900848786,0.2855007473841555,0.2782618409517427,1
991,0.625,0.07624633409413402,0.6292906601736272,0.3654708520179372,0.13270777479892762,5
992,0.6666666666666666,0.081524926470739,0.6948106953284652,0.04633781763826607,0.058199285053619286,5
993,0.7083333333333334,0.06702212764035713,0.6753495477092959,0.1046337817638266,0.07964700623324394,5
994,0.75,0.058064516142654427,0.6403948145669993,0.4364723467862481,0.19693923143431635,1
