hour,wave_height,water_temp,tide_variation,tide_height,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.541666667,0.076246334,0.225066294,0.402092676,0.51217605,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.583333333,0.108504399,0.218492192,0.644245142,0.332551385,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.625,0.138043189,0.244080463,0.322869955,0.19626899,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.666666667,0.13372434,0.284122716,0.183856502,0.122319035,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.708333333,0.148856305,0.296994697,0.225710015,0.120084897,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.75,0.15483871,0.268930466,0.156203288,0.206949887,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.791666667,0.144868035,0.257550088,0.38490284,0.359300887,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.833333333,0.105571848,0.269814378,0.408071749,0.525357462,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.875,0.098533724,0.277493371,0.644992526,0.663762288,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.916666667,0.107331378,0.262024897,0.508221226,0.763516533,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.958333333,0.096774194,0.243186505,0.19058296,0.805406613,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
1,0.080938416,0.225287272,0.202541106,0.760500447,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.041666667,0.078005865,0.225673984,0.622571001,0.647090493,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
