,hour,dif_tide_height,current_dir,water_temp,wind_speed,tide_height,cluster
683,0.75,0.0723404255319149,0.13636574075000002,0.5651517385283302,0.24528301886792456,0.1272341376005362,2
701,0.5,0.025531914893617023,0.5459027777777778,0.503940778212711,0.4433962264150944,0.6853217158176943,16
704,0.625,0.09787234042553193,0.22133838383333326,0.474118765755486,0.3679245283018868,0.34148793565683644,7
705,0.6666666666666666,0.07659574468085106,0.12472222222222222,0.5015652621542621,0.3867924528301887,0.1831992850536193,7
706,0.7083333333333334,0.029787234042553193,0.0901388888888889,0.5476502653351947,0.2924528301886793,0.09092940127345844,2
725,0.5,0.025531914893617023,0.551875,0.5392420451647741,0.28301886792452835,0.6588471849865951,6
729,0.6666666666666666,0.0851063829787234,0.17300925925000002,0.5030568649832226,0.3113207547169811,0.2960232350536193,7
733,0.8333333333333334,0.059574468085106386,0.12156565655555555,0.5383631543277443,0.17924528301886794,0.2345844504021448,5
774,0.5833333333333334,0.017021276595744685,0.5656944444444445,0.5685216558098181,0.5283018867924528,0.6285746199731902,16
775,0.625,0.017021276595744685,0.5142592591666667,0.5503461995581458,0.6698113207547169,0.6248882928954422,15
776,0.6666666666666666,0.05106382978723405,0.4652314813888889,0.5434958750128156,0.6886792452830189,0.5717158176943699,15
777,0.7083333333333334,0.046808510638297884,0.2746527777777778,0.5534298497505687,0.6509433962264152,0.4813449508713137,15
779,0.7916666666666666,0.03404255319148936,0.11150462963888888,0.5576937243835279,0.5188679245283019,0.26686773907506695,7
796,0.5,0.05106382978723405,0.5142824075,0.5810621687039077,0.5660377358490567,0.364946380697051,14
801,0.7083333333333334,0.042553191489361715,0.4797685186111111,0.5915586328348732,0.2641509433962264,0.5938337801608577,11
822,0.5833333333333334,0.06382978723404256,0.471643518611111,0.6094578667823979,0.4528301886792453,0.4130920464477211,14
823,0.625,0.03829787234042553,0.5399305555555556,0.6097893340777225,0.5188679245283019,0.5130697050938337,14
824,0.6666666666666666,0.03829787234042553,0.5603935186111111,0.61133618189786,0.4622641509433963,0.5863494189008042,16
825,0.7083333333333334,0.021276595744680854,0.5439583333333333,0.6237662054725301,0.14150943396226418,0.6214253800268096,11
826,0.75,0.029787234042553193,0.4540046297222222,0.6217221567094056,0.4245283018867925,0.6063449510723861,16
843,0.4583333333333333,0.01276595744680851,0.11067129630555557,0.601778874661691,0.4056603773584906,0.19247095623324392,8
846,0.5833333333333334,0.05106382978723405,0.4793518519444444,0.6519961699033578,0.3962264150943397,0.3026139410187667,14
847,0.625,0.0723404255319149,0.5647222222222222,0.6452010903492051,0.4905660377358491,0.4092940125335121,14
848,0.6666666666666666,0.06808510638297872,0.5641435186111111,0.6452010903492051,0.3584905660377359,0.5213360142761393,16
849,0.7083333333333334,0.05531914893617021,0.5668287036111112,0.6562500004143343,0.19811320754716985,0.6204200180965148,11
850,0.75,0.021276595744680854,0.5571064813888891,0.6555870658236853,0.19811320754716985,0.6772788203753349,11
851,0.7916666666666666,0.017021276595744685,0.5191435186111111,0.6259759872203821,0.169811320754717,0.6757149242627346,11
867,0.4583333333333333,0.0723404255319149,0.14240740741666666,0.6295668831407093,0.15094339622641512,0.2325737265415549,8
872,0.6666666666666666,0.08085106382978724,0.3187268519444445,0.7495580440481906,0.17924528301886794,0.4085120643431636,1
873,0.7083333333333334,0.0851063829787234,0.5442824075,0.7434258990846867,0.2169811320754717,0.5568588024798927,11
874,0.75,0.05106382978723405,0.5528472222222223,0.7051414264747031,0.4433962264150944,0.6729222520107238,16
892,0.5,0.0723404255319149,0.12518518519444444,0.6138221866127942,0.16037735849056606,0.2069928507372654,8
894,0.5833333333333334,0.021276595744680854,0.06673611111111111,0.6344284032511576,0.1037735849056604,0.09986595174262736,10
895,0.625,0.07659574468085106,0.12995370369444445,0.6516094582797907,0.2924528301886793,0.16923592493297587,8
897,0.7083333333333334,0.0851063829787234,0.5931481480555556,0.67188420762283,0.22641509433962265,0.44247095623324384,4
898,0.75,0.09787234042553193,0.563125,0.6563604890708195,0.2735849056603773,0.6015827104557641,11
918,0.5833333333333334,0.025531914893617023,0.05993055555555556,0.6108389809548733,0.05660377358490566,0.07629579979892763,10
921,0.7083333333333334,0.1021276595744681,0.4812962963888889,0.6382402771473898,0.3113207547169811,0.31914655945040205,1
922,0.75,0.08936170212765958,0.5696527777777778,0.6381850328191474,0.169811320754717,0.4840259160187666,11
943,0.625,0.017021276595744685,0.058171296305555564,0.6432675309055003,0.12264150943396228,0.04378909738605899,10
944,0.6666666666666666,0.06382978723404256,0.042847222222222224,0.6607248089012157,0.15094339622641512,0.09550938337801608,10
964,0.5,0.10638297872340426,0.4871990741666667,0.5987956690037703,0.07547169811320756,0.5142984807640749,4
965,0.5416666666666666,0.1021276595744681,0.2506018518611111,0.5965858872559182,0.24528301886792456,0.3372430741957104,8
969,0.7083333333333334,0.08085106382978724,0.07770833333333334,0.6653101060445819,0.14150943396226418,0.13181411977211796,10
970,0.75,0.09361702127659577,0.4553703702777778,0.6681828230460174,0.22641509433962265,0.2895442359249329,1
