hour,wave_height,water_temp,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.583333333,0.11026393,0.255616529,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.625,0.104985338,0.264345168,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.666666667,0.111810184,0.27276745,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.708333333,0.090909091,0.269759134,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.75,0.103225807,0.291138775,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.791666667,0.08973607,0.29655274,1,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.833333333,0.097733937,0.262642631,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.875,0.082378033,0.252035678,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.916666667,0.091495601,0.221088686,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.958333333,0.096454279,0.216357743,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
1,0.106744868,0.217718769,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.041666667,0.109890696,0.214911341,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.083333333,0.104985338,0.214569829,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.125,0.096187684,0.2168901,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.166666667,0.103812317,0.217442546,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.208333333,0.099706745,0.228988657,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.25,0.106744868,0.235120802,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.291666667,0.09032258,0.238490719,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
