hour,wind_dir,wind_speed,water_temp,tide_height,drowning,prediction,cluster,p(s|pred),p(drowning),p(~drowning),p(pred|drowning),p(pred|~drowning),p(drowning|pred),p(drowning|pred)*p(s|pred)
0.4583333333333333,0.6916666666666667,0.04716981132075472,0.4291396581258515,0.6327077747989275,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.5,0.4858333333333333,0.12264150943396228,0.4426745729059149,0.4769883825067024,0,1,1,0.9,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.05344827586206897,0.04810344827586207
0.5416666666666666,0.4533333333333333,0.16037735849056606,0.4366529172618308,0.2954647006032172,0,1,1,0.9,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.05344827586206897,0.04810344827586207
0.5833333333333334,0.4963888888888889,0.14150943396226418,0.4480332939593499,0.13818141199731898,0,1,1,0.9,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.05344827586206897,0.04810344827586207
0.625,0.575,0.18867924528301888,0.49438347097654206,0.032171581769436984,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.6666666666666666,0.6033333333333333,0.2075471698113208,0.4894667058749167,0.032059874865951736,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.7083333333333334,0.6775,0.1320754716981132,0.5275151339945539,0.12086684537533512,0,1,1,0.9,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.05344827586206897,0.04810344827586207
0.75,0.7525,0.09433962264150944,0.5679692105385887,0.2772564790214477,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.7916666666666666,0.9930555555555556,0.04716981132075472,0.5780186963252858,0.4502904378686327,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.8333333333333334,0.7486111111111111,0.22641509433962265,0.5605111963937868,0.6241063451742628,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.875,0.7461111111111112,0.09433962264150944,0.5170889807062726,0.7473190348525468,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.9166666666666666,0.39416666666666667,0.18867924528301888,0.4546073955375982,0.80328418230563,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.9583333333333334,0.4463888888888888,0.19811320754716985,0.4433375074965639,0.76083556769437,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
1.0,0.5005555555555555,0.11320754716981132,0.4459892458591601,0.6343833780160857,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.04166666666666666,0.4702777777777778,0.2735849056603773,0.4470589809802768,0.4401946995978552,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.08333333333333333,0.4769444444444444,0.19811320754716985,0.4414039480528593,0.23637176052278824,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.125,0.43916666666666665,0.22641509433962265,0.47814157350564,0.07942359249329757,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.16666666666666666,0.4802777777777778,0.12264150943396228,0.4967589863720565,0.03485254691689008,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.20833333333333331,0.4469444444444445,0.19811320754716985,0.4788597524245315,0.07685433424932978,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.25,0.3905555555555555,0.24528301886792456,0.4665954624975239,0.2090035745978552,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.2916666666666667,0.295,0.16037735849056606,0.4733352977234342,0.3669571045576408,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.3333333333333333,0.33194444444444443,0.14150943396226418,0.4863177665693337,0.5206657729892761,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.375,0.3783333333333333,0.17924528301886794,0.4944939602959619,0.6549374443699731,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.4166666666666667,0.3572222222222222,0.17924528301886794,0.4833898059025901,0.7158176943699731,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
0.4583333333333333,0.4908333333333333,0.2358490566037736,0.4482542725981893,0.7058757821715818,0,0,0,0.0,0.008039725703475999,0.991960274296524,0.9117647058823529,0.13087008343265794,0.0,0.0
