,hour,wind_dir,current_dir,wind_speed,current_speed,wave_height,water_temp,tide_height,dif_tide_height,tide_variation,cluster
559,0.5416666666666666,0.7105555555555556,0.08608796297222222,0.28301886792452835,0.328962158045035,0.1102639298792408,0.4289739244781894,0.16052278820375335,0.042553191489361715,0.10762331838565024,33
560,0.5833333333333334,0.74,0.04826388888888889,0.2075471698113208,0.2780816784201236,0.1102639298792408,0.4504640543460414,0.15538427164879354,0.025531914893617023,0.07922272047832586,33
561,0.625,0.7780555555555556,0.13131944444444446,0.19811320754716985,0.16230798044093486,0.11143694993816702,0.4854890983310223,0.20799821266756036,0.046808510638297884,0.2443946188340808,10
562,0.6666666666666666,0.7930555555555555,0.3219444444444445,0.16037735849056606,0.0787560884317591,0.10205278594769564,0.4842184741409013,0.3061885611930295,0.07659574468085106,0.3617339312406577,10
585,0.625,0.6969444444444445,0.03893518519444445,0.28301886792452835,0.274934432261466,0.03695014663623463,0.4706283150325956,0.11047810542895442,0.046808510638297884,0.33482810164424515,2
610,0.6666666666666666,0.7274999999999999,0.044583333333333336,0.2358490566037736,0.2917946795399887,0.08211143720401443,0.5345462580390534,0.10668007151474533,0.05531914893617021,0.16292974588938716,33
611,0.7083333333333334,0.8122222222222222,0.2817129630555556,0.169811320754717,0.15968527536866775,0.08093841644127586,0.5380819096311379,0.223637176072386,0.0851063829787234,0.32810164424514204,10
612,0.75,0.065,0.6781481480555556,0.11320754716981132,0.06878980889637235,0.07507331403520781,0.5700685036299558,0.3752234137399463,0.08936170212765958,0.31988041853512705,13
635,0.7083333333333334,0.6775,0.20477272727777776,0.1320754716981132,0.2866923259409338,0.258331112084066,0.5275151339945539,0.12086684537533512,0.07659574468085106,0.2219730941704036,33
653,0.4583333333333333,0.4908333333333333,0.5623379630555555,0.2358490566037736,0.4884975644560861,0.181818181626233,0.4482542725981893,0.7058757821715818,0.03829787234042553,0.06427503736920777,48
657,0.625,0.6344444444444445,0.09992424241666667,0.4150943396226416,0.4365339417217237,0.2129032258563996,0.4756254350988879,0.10958445040214476,0.07659574468085106,0.22571001494768314,21
658,0.6666666666666666,0.6569444444444444,0.07835648147222221,0.5660377358490567,0.4637692017809195,0.20762463347979465,0.5448217441941139,0.04211349416890081,0.017021276595744685,0.03736920777279522,21
659,0.7083333333333334,0.6533333333333333,0.12300925925,0.30188679245283023,0.3826901460392605,0.19589442796384615,0.5679692105385887,0.07841823056300268,0.05106382978723405,0.2309417040358745,21
660,0.75,0.5569444444444445,0.17819444444444446,0.14150943396226418,0.15339078305135265,0.17947214080456825,0.5573070127599609,0.19526362821715815,0.09361702127659577,0.3236173393124066,24
680,0.625,0.525,0.14093434344444444,0.33018867924528306,0.3491467692341286,0.2269794721940128,0.4511571226285085,0.22508936548257366,0.08936170212765958,0.5994020926756353,24
681,0.6666666666666666,0.5513888888888889,0.0875,0.3962264150943397,0.4668415135372019,0.2363636361844841,0.503885533221534,0.09361036642091153,0.05106382978723405,0.1696562032884903,21
682,0.7083333333333334,0.4994444444444445,0.09745370369444444,0.3584905660377359,0.468040464424812,0.22580645143127426,0.5591853272124887,0.06680071494638071,0.004255319148936171,0.021674140508221227,21
683,0.75,0.5244444444444445,0.13636574075000002,0.24528301886792456,0.2472836267246889,0.23519061612555794,0.5651517385283302,0.1272341376005362,0.0723404255319149,0.17189835575485798,21
701,0.5,0.5180555555555556,0.5459027777777778,0.4433962264150944,0.4328212812807344,0.19472140790492,0.503940778212711,0.6853217158176943,0.025531914893617023,0.08221225710014947,48
704,0.625,0.5336111111111111,0.22133838383333326,0.3679245283018868,0.2625770631831538,0.2084244204594544,0.474118765755486,0.34148793565683644,0.09787234042553193,0.35276532137518685,24
705,0.6666666666666666,0.5433333333333333,0.12472222222222222,0.3867924528301887,0.4217309852331365,0.20117302034045112,0.5015652621542621,0.1831992850536193,0.07659574468085106,0.2384155455904335,21
706,0.7083333333333334,0.5388888888888889,0.0901388888888889,0.2924528301886793,0.5110378417366359,0.20938416427199627,0.5476502653351947,0.09092940127345844,0.029787234042553193,0.07249626307922273,21
725,0.5,0.5449999999999999,0.551875,0.28301886792452835,0.4221805918272303,0.08328445726294065,0.5392420451647741,0.6588471849865951,0.025531914893617023,0.10986547085201794,48
729,0.6666666666666666,0.5697222222222222,0.17300925925000002,0.3113207547169811,0.28160359677049984,0.124340176216854,0.5030568649832226,0.2960232350536193,0.0851063829787234,0.4835575485799701,24
733,0.8333333333333334,0.5494444444444445,0.12156565655555555,0.17924528301886794,0.1850812356757041,0.12524660061589366,0.5383631543277443,0.2345844504021448,0.059574468085106386,0.3744394618834081,24
774,0.5833333333333334,0.5325,0.5656944444444445,0.5283018867924528,0.19408017981685394,0.4299120233266656,0.5685216558098181,0.6285746199731902,0.017021276595744685,0.14050822122571002,49
775,0.625,0.5527777777777778,0.5142592591666667,0.6698113207547169,0.2139378043593624,0.5348973608293015,0.5503461995581458,0.6248882928954422,0.017021276595744685,0.027653213751868463,49
776,0.6666666666666666,0.5533333333333333,0.4652314813888889,0.6886792452830189,0.15766204569524506,0.606451613280106,0.5434958750128156,0.5717158176943699,0.05106382978723405,0.3430493273542601,7
777,0.7083333333333334,0.5566666666666666,0.2746527777777778,0.6509433962264152,0.1637317347155132,0.5835777129814846,0.5534298497505687,0.4813449508713137,0.046808510638297884,0.13004484304932734,7
779,0.7916666666666666,0.6447222222222222,0.11150462963888888,0.5188679245283019,0.39932559002073614,0.5853372437736862,0.5576937243835279,0.26686773907506695,0.03404255319148936,0.14499252615844546,20
796,0.5,0.6441666666666667,0.5142824075,0.5660377358490567,0.11412514047050835,0.2621700880380458,0.5810621687039077,0.364946380697051,0.05106382978723405,0.29745889387145,40
801,0.7083333333333334,0.6105555555555556,0.4797685186111111,0.2641509433962264,0.1839640314497404,0.16891495605135834,0.5915586328348732,0.5938337801608577,0.042553191489361715,0.2847533632286996,32
822,0.5833333333333334,0.5155555555555555,0.471643518611111,0.4528301886792453,0.10168602473054987,0.25043988252209737,0.6094578667823979,0.4130920464477211,0.06382978723404256,0.3385650224215247,40
823,0.625,0.5102777777777777,0.5399305555555556,0.5188679245283019,0.1706257024316727,0.24750733167096955,0.6097893340777225,0.5130697050938337,0.03829787234042553,0.12855007473841554,16
824,0.6666666666666666,0.5197222222222222,0.5603935186111111,0.4622641509433963,0.237991757143388,0.2545454548397761,0.61133618189786,0.5863494189008042,0.03829787234042553,0.11509715994020925,16
825,0.7083333333333334,0.5291666666666667,0.5439583333333333,0.14150943396226418,0.15301611085963393,0.2228739005801464,0.6237662054725301,0.6214253800268096,0.021276595744680854,0.1046337817638266,4
826,0.75,0.5533333333333333,0.4540046297222222,0.4245283018867925,0.1282877481844674,0.20586510268759295,0.6217221567094056,0.6063449510723861,0.029787234042553193,0.17264573991031393,16
843,0.4583333333333333,0.5591666666666667,0.11067129630555557,0.4056603773584906,0.2867740726025801,0.20410557189539133,0.601778874661691,0.19247095623324392,0.01276595744680851,0.09267563527653214,31
846,0.5833333333333334,0.5733333333333334,0.4793518519444444,0.3962264150943397,0.07560884227310155,0.15777126126868532,0.6519961699033578,0.3026139410187667,0.05106382978723405,0.1360239162929746,40
847,0.625,0.6097222222222223,0.5647222222222222,0.4905660377358491,0.17452229297376767,0.14604105575273693,0.6452010903492051,0.4092940125335121,0.0723404255319149,0.29820627802690586,40
848,0.6666666666666666,0.6422222222222221,0.5641435186111111,0.3584905660377359,0.26908954653824485,0.13724340179172867,0.6452010903492051,0.5213360142761393,0.06808510638297872,0.22571001494768314,32
849,0.7083333333333334,0.6308333333333334,0.5668287036111112,0.19811320754716985,0.3208692393513441,0.1284457478307204,0.6562500004143343,0.6204200180965148,0.05531914893617021,0.1532137518684604,4
850,0.75,0.6813888888888889,0.5571064813888891,0.19811320754716985,0.3292618957444572,0.11964809386971215,0.6555870658236853,0.6772788203753349,0.021276595744680854,0.044843049327354265,4
851,0.7916666666666666,0.6652777777777777,0.5191435186111111,0.169811320754717,0.23626826516938745,0.12316715545411548,0.6259759872203821,0.6757149242627346,0.017021276595744685,0.09865470852017937,4
867,0.4583333333333333,0.6733333333333333,0.14240740741666666,0.15094339622641512,0.2803297113905933,0.09560117280835218,0.6295668831407093,0.2325737265415549,0.0723404255319149,0.4192825112107624,46
872,0.6666666666666666,0.7899999999999999,0.3187268519444445,0.17924528301886794,0.03499437990997546,0.09794721433382923,0.7495580440481906,0.4085120643431636,0.08085106382978724,0.4245142002989537,41
873,0.7083333333333334,0.8002777777777779,0.5442824075,0.2169811320754717,0.2130385911711745,0.08914956037282099,0.7434258990846867,0.5568588024798927,0.0851063829787234,0.23916292974588946,22
874,0.75,0.8283333333333333,0.5528472222222223,0.4433962264150944,0.3881603595707629,0.09794721433382923,0.7051414264747031,0.6729222520107238,0.05106382978723405,0.17713004484304934,28
892,0.5,0.9969444444444444,0.12518518519444444,0.16037735849056606,0.30228550009882105,0.07683284482740946,0.6138221866127942,0.2069928507372654,0.0723404255319149,0.1973094170403588,34
894,0.5833333333333334,0.7563888888888889,0.06673611111111111,0.1037735849056604,0.2728362681856681,0.08387096799621603,0.6344284032511576,0.09986595174262736,0.021276595744680854,0.22645739910313906,12
895,0.625,0.8341666666666667,0.12995370369444445,0.2924528301886793,0.14185088040966073,0.0926686219572243,0.6516094582797907,0.16923592493297587,0.07659574468085106,0.17937219730941706,12
897,0.7083333333333334,0.8555555555555555,0.5931481480555556,0.22641509433962265,0.209441738418423,0.08211143720401443,0.67188420762283,0.44247095623324384,0.0851063829787234,0.4678624813153962,23
898,0.75,0.8333333333333334,0.563125,0.2735849056603773,0.3730236042662408,0.0639296185487225,0.6563604890708195,0.6015827104557641,0.09787234042553193,0.3714499252615845,23
918,0.5833333333333334,0.8752777777777778,0.05993055555555556,0.05660377358490566,0.32716373166865925,0.0633431085192594,0.6108389809548733,0.07629579979892763,0.025531914893617023,0.2047832585949178,12
921,0.7083333333333334,0.8197222222222222,0.4812962963888889,0.3113207547169811,0.08857249900952917,0.07272727250973074,0.6382402771473898,0.31914655945040205,0.1021276595744681,0.5829596412556054,41
922,0.75,0.9711111111111111,0.5696527777777778,0.169811320754717,0.3132259272517472,0.06568914934092415,0.6381850328191474,0.4840259160187666,0.08936170212765958,0.5186846038863976,23
